Attrition,BusinessTravel,DailyRate,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,RelationshipSatisfaction,StockOptionLevel,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,DateBirth,RemoteWork,PerformanceRating,TotalWorkingYears,MonthlyIncome
no,unknown,684.0,6,3,unknown,"162,0",1,female,51.0,3,5,research_director,3,unknown,6462,7,no,13,3,0,5,3.0,20,15,15,1972,yes,3.0,32.595027803855906,19537.0
no,unknown,699.0,1,4,life_sciences,"259,0",3,female,65.0,2,5,manager,3,unknown,5678,0,unknown,14,1,1,5,3.0,33,11,9,1971,yes,3.0,34.0,19999.0
no,travel_rarely,532.0,4,2,technical_degree,"319,0",3,female,58.0,3,5,manager,4,married,4933,1,no,11,4,0,3,3.0,22,11,15,1981,yes,3.0,22.0,19232.0
no,travel_rarely,359.0,2,4,medical,unknown,1,male,82.0,3,4,research_director,3,married,26703,3,unknown,19,2,2,2,3.0,20,5,6,1976,false,3.0,28.796638113843716,17169.0
no,unknown,1319.0,3,3,technical_degree,unknown,1,male,45.0,4,4,sales_executive,1,divorced,7739,2,no,12,4,1,5,3.0,19,2,8,1977,no,3.0,11.557873824923,2849.8
no,unknown,117.0,22,3,medical,"1900,0",4,male,58.0,3,4,manager,4,unknown,2437,3,no,11,2,1,3,3.0,22,4,7,1975,yes,3.0,28.80465836234459,17174.0
no,unknown,1435.0,25,3,life_sciences,"81,0",1,male,99.0,3,3,sales_executive,1,unknown,2354,7,unknown,11,4,0,3,2.0,21,7,9,1964,true,3.0,28.0,4334.0
no,travel_rarely,635.0,1,1,unknown,"387,0",2,female,99.0,3,2,sales_executive,3,married,24532,1,no,25,3,0,3,3.0,20,11,6,1981,no,4.0,20.0,8669.0
no,unknown,1276.0,2,5,unknown,unknown,2,male,91.0,3,4,manager,1,married,5626,7,no,16,2,1,2,3.0,18,11,8,1982,true,3.0,22.0,16595.0
no,travel_frequently,840.0,9,3,unknown,"999,0",1,female,64.0,3,5,research_director,3,unknown,3735,2,no,17,2,1,2,4.0,18,0,11,1982,no,3.0,21.0,5358.2
no,non_travel,247.0,7,1,unknown,"1035,0",2,male,55.0,1,5,research_director,3,unknown,20284,1,no,22,2,2,3,3.0,21,5,10,1982,no,4.0,33.29439500859907,19973.0
no,travel_rarely,1369.0,23,3,life_sciences,unknown,4,female,68.0,3,4,manufacturing_director,2,married,18235,4,yes,12,1,1,0,3.0,19,15,9,1967,false,3.1406204890515705,33.0,13402.0
no,unknown,201.0,10,3,medical,unknown,2,male,99.0,1,3,research_director,3,married,3376,3,no,12,1,1,3,3.0,18,1,11,1985,yes,3.0,22.439789152053898,13206.0
yes,travel_rarely,1360.0,12,3,unknown,"58,0",2,male,49.0,3,5,research_director,3,married,16280,1,no,12,4,0,0,3.0,22,15,8,1982,false,3.0,32.6078602014573,19545.0
no,unknown,692.0,14,4,medical,unknown,3,female,61.0,4,5,research_director,2,single,13339,8,no,11,4,0,3,3.0,24,2,15,1968,true,3.0,11.557873824923,2849.8
no,travel_rarely,1398.0,2,4,unknown,"558,0",3,male,79.0,3,5,manager,3,unknown,13022,0,no,14,4,0,2,3.0,20,1,12,1983,no,3.0,30.195369452395504,18041.0
yes,travel_rarely,286.0,2,4,unknown,"825,0",4,female,31.0,3,5,research_director,2,single,25761,7,yes,12,4,0,2,3.0,31,13,8,1965,no,3.0,40.0,19246.0
no,travel_rarely,1402.0,2,3,unknown,unknown,3,male,69.0,3,4,manager,1,unknown,24097,8,unknown,23,1,0,2,3.0,26,15,9,1977,false,4.0,28.0,5600.8
no,unknown,819.0,13,5,life_sciences,unknown,2,female,48.0,4,2,research_scientist,1,married,26312,1,unknown,11,4,0,2,3.0,16,1,10,1988,false,3.0,11.557873824923,2849.8
no,travel_rarely,884.0,15,3,life_sciences,unknown,1,male,80.0,2,3,manufacturing_director,3,unknown,25800,1,unknown,13,4,2,2,3.0,18,14,12,1983,true,3.0,18.0,4061.2
no,non_travel,1238.0,1,1,unknown,"1712,0",3,female,74.0,2,3,healthcare_representative,3,unknown,3395,3,unknown,23,4,1,3,2.0,23,14,4,1978,false,4.0,25.0,10748.0
no,unknown,515.0,1,2,life_sciences,"73,0",1,male,98.0,3,3,research_director,4,single,15146,1,yes,12,3,0,1,3.0,15,8,12,1990,true,3.0,15.0,5358.2
no,unknown,1223.0,8,3,unknown,unknown,3,male,59.0,3,3,healthcare_representative,3,divorced,8202,1,unknown,13,2,3,2,3.0,17,12,8,1987,yes,3.1465965678620904,17.0,6096.2
no,unknown,202.0,2,2,other,"820,0",3,male,33.0,3,4,manager,4,married,12982,1,unknown,11,3,1,3,2.0,26,3,0,1976,false,3.0,28.127749388871134,16752.0
no,travel_rarely,928.0,42,2,life_sciences,unknown,42,female,56.0,3,2,sales_executive,4,unknown,2823,1,unknown,14,4,1,1,3.0,18,4,11,1987,true,3.0,18.0,6201.0
no,unknown,607.0,9,3,life_sciences,unknown,4,male,66.0,2,3,manufacturing_director,3,married,23457,1,yes,20,2,1,2,3.0,17,5,15,1988,false,4.0,17.0,4401.6
yes,unknown,266.0,2,1,unknown,unknown,1,male,57.0,1,5,manager,4,married,25846,1,no,15,4,1,3,3.0,32,6,9,1971,yes,3.0,33.0,19845.0
