Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,DateBirth,RemoteWork,Attrition_numeric
51,no,,684.0,,6,3,,"162,0",1,female,51.0,3,5,research_director,3,,19537.0,6462,7,no,13,3.0,3,0,,5,3.0,20,15,15,1972,yes,
52,no,,699.0,,1,4,life_sciences,"259,0",3,female,65.0,2,5,manager,3,,19999.0,5678,0,,14,3.0,1,1,34.0,5,3.0,33,11,9,1971,yes,
42,no,travel_rarely,532.0,research_and_development,4,2,technical_degree,"319,0",3,female,58.0,3,5,manager,4,married,19232.0,4933,1,no,11,3.0,4,0,22.0,3,,22,11,15,1981,yes,
47,no,travel_rarely,359.0,,2,4,medical,,1,male,82.0,3,4,research_director,3,married,17169.0,26703,3,,19,3.0,2,2,,2,,20,5,6,1976,no,
46,no,,1319.0,,3,3,technical_degree,,1,male,45.0,4,4,sales_executive,1,divorced,,7739,2,no,12,3.0,4,1,,5,3.0,19,2,8,1977,no,
48,no,,117.0,research_and_development,22,3,medical,"1900,0",4,male,58.0,3,4,manager,4,,17174.0,2437,3,no,11,3.0,2,1,,3,3.0,22,4,7,1975,yes,
59,no,,1435.0,,25,3,life_sciences,"81,0",1,male,99.0,3,3,sales_executive,1,,,2354,7,,11,3.0,4,0,28.0,3,2.0,21,7,9,1964,yes,
42,no,travel_rarely,635.0,,1,1,,"387,0",2,female,99.0,3,2,sales_executive,3,married,,24532,1,no,25,4.0,3,0,20.0,3,3.0,20,11,6,1981,no,
41,no,,1276.0,,2,5,,,2,male,91.0,3,4,manager,1,married,16595.0,5626,7,no,16,3.0,2,1,22.0,2,3.0,18,11,8,1982,yes,
41,no,travel_frequently,840.0,,9,3,,"999,0",1,female,64.0,3,5,research_director,3,,,3735,2,no,17,3.0,2,1,21.0,2,4.0,18,0,11,1982,no,
41,no,non_travel,247.0,,7,1,,"1035,0",2,male,55.0,1,5,research_director,3,,19973.0,20284,1,no,22,4.0,2,2,,3,3.0,21,5,10,1982,no,
56,no,travel_rarely,1369.0,,23,3,life_sciences,,4,female,68.0,3,4,manufacturing_director,2,married,13402.0,18235,4,yes,12,,1,1,33.0,0,3.0,19,15,9,1967,no,
38,no,,201.0,,10,3,medical,,2,male,99.0,1,3,research_director,3,married,13206.0,3376,3,no,12,3.0,1,1,,3,3.0,18,1,11,1985,yes,
41,yes,travel_rarely,1360.0,,12,3,,"58,0",2,male,49.0,3,5,research_director,3,married,19545.0,16280,1,no,12,3.0,4,0,,0,3.0,22,15,8,1982,no,
55,no,,692.0,,14,4,medical,,3,female,61.0,4,5,research_director,2,single,,13339,8,no,11,3.0,4,0,,3,3.0,24,2,15,1968,yes,
40,no,travel_rarely,1398.0,,2,4,,"558,0",3,male,79.0,3,5,manager,3,,18041.0,13022,0,no,14,3.0,4,0,,2,3.0,20,1,12,1983,no,
58,yes,travel_rarely,286.0,,2,4,,"825,0",4,female,31.0,3,5,research_director,2,single,19246.0,25761,7,yes,12,3.0,4,0,40.0,2,3.0,31,13,8,1965,no,
46,no,travel_rarely,1402.0,,2,3,,,3,male,69.0,3,4,manager,1,,,24097,8,,23,4.0,1,0,28.0,2,3.0,26,15,9,1977,no,
35,no,,819.0,,13,5,life_sciences,,2,female,48.0,4,2,research_scientist,1,married,,26312,1,,11,3.0,4,0,,2,3.0,16,1,10,1988,no,
40,no,travel_rarely,884.0,,15,3,life_sciences,,1,male,80.0,2,3,manufacturing_director,3,,,25800,1,,13,3.0,4,2,18.0,2,,18,14,12,1983,yes,
45,no,non_travel,1238.0,research_and_development,1,1,,"1712,0",3,female,74.0,2,3,healthcare_representative,3,,10748.0,3395,3,,23,4.0,4,1,25.0,3,2.0,23,14,4,1978,no,
33,no,,515.0,,1,2,life_sciences,"73,0",1,male,98.0,3,3,research_director,4,single,,15146,1,yes,12,3.0,3,0,15.0,1,3.0,15,8,12,1990,yes,
36,no,,1223.0,,8,3,,,3,male,59.0,3,3,healthcare_representative,3,divorced,,8202,1,,13,,2,3,17.0,2,3.0,17,12,8,1987,yes,
47,no,,202.0,,2,2,other,"820,0",3,male,33.0,3,4,manager,4,married,16752.0,12982,1,,11,3.0,3,1,,3,2.0,26,3,0,1976,no,
35,no,,607.0,,9,3,life_sciences,,4,male,66.0,2,3,manufacturing_director,3,married,,23457,1,yes,20,4.0,2,1,17.0,2,3.0,17,5,15,1988,no,
52,yes,,266.0,,2,1,,,1,male,57.0,1,5,manager,4,married,19845.0,25846,1,no,15,3.0,4,1,33.0,3,3.0,32,6,9,1971,yes,
36,no,,429.0,,2,4,life_sciences,"1294,0",3,male,53.0,3,2,manufacturing_director,2,single,,2323,9,yes,11,3.0,4,0,18.0,2,3.0,16,5,12,1987,no,
33,no,travel_rarely,589.0,,28,4,life_sciences,,2,female,79.0,3,2,laboratory_technician,3,married,,22949,1,,12,3.0,2,1,15.0,3,3.0,15,5,7,1990,yes,
34,no,non_travel,,sales,10,3,life_sciences,"1774,0",4,female,87.0,3,2,sales_executive,3,,4001.0,12313,1,yes,14,3.0,3,1,15.0,3,3.0,15,0,7,1989,yes,
41,no,,,sales,37,1,,"1815,0",37,male,81.0,3,3,sales_executive,3,divorced,10447.0,26458,0,,13,3.0,4,1,,3,4.0,22,13,5,1982,yes,
47,no,,1180.0,research_and_development,25,3,medical,"1993,0",1,female,84.0,3,3,healthcare_representative,3,,,13084,2,,23,4.0,2,0,25.0,3,3.0,17,12,11,1976,yes,
53,no,travel_rarely,1282.0,,5,3,,"32,0",3,male,58.0,3,5,manager,3,,,10735,4,,11,3.0,4,1,26.0,3,2.0,14,4,8,1970,yes,
35,no,,776.0,,1,4,marketing,"100,0",3,female,32.0,2,2,sales_executive,1,single,,23016,0,no,14,,2,0,16.0,2,3.0,15,2,8,1988,no,
34,no,travel_rarely,665.0,,6,4,other,,1,male,41.0,3,2,research_scientist,3,single,,12482,1,,14,3.0,3,0,16.0,3,3.0,16,2,10,1989,yes,
46,no,travel_rarely,526.0,,1,2,,"244,0",2,male,92.0,3,3,sales_executive,1,divorced,,2137,1,no,25,4.0,3,3,24.0,2,3.0,24,15,7,1977,yes,
43,no,,1034.0,,16,3,,"327,0",4,male,80.0,3,4,manager,4,married,16064.0,7744,5,,22,4.0,3,1,22.0,3,3.0,17,1,9,1980,yes,
36,no,,1403.0,research_and_development,6,3,life_sciences,"373,0",4,female,47.0,3,1,laboratory_technician,4,married,3210.0,20251,0,,11,3.0,3,1,16.0,4,3.0,15,10,11,1987,yes,
60,no,travel_frequently,1499.0,,28,3,,,3,male,80.0,2,3,sales_executive,1,married,10266.0,2845,4,no,19,3.0,4,0,22.0,5,4.0,18,13,11,1963,yes,
40,no,travel_frequently,580.0,,5,4,,"729,0",4,female,48.0,2,3,sales_executive,1,married,10475.0,23772,5,yes,21,4.0,3,1,20.0,2,3.0,18,1,12,1983,no,
32,no,travel_rarely,859.0,,4,3,,"830,0",3,male,98.0,2,2,manufacturing_director,3,married,6162.0,19124,1,no,12,3.0,3,1,14.0,3,3.0,14,6,8,1991,no,
53,no,,1376.0,,2,2,medical,"981,0",3,female,,3,4,manager,3,divorced,,13938,6,no,13,3.0,3,1,22.0,3,4.0,17,15,2,1970,no,
36,yes,travel_rarely,885.0,,16,4,,"1042,0",3,male,43.0,4,1,laboratory_technician,1,single,,8269,1,,16,3.0,3,0,18.0,1,3.0,17,15,14,1987,yes,
46,no,,1003.0,,8,4,life_sciences,"1080,0",4,male,74.0,2,2,research_scientist,1,divorced,4615.0,21029,8,yes,23,4.0,1,3,,2,3.0,16,1,7,1977,no,
38,no,travel_rarely,1321.0,,1,4,,"1995,0",4,female,86.0,3,2,sales_executive,2,married,,7636,0,no,15,3.0,1,2,16.0,3,,15,5,8,1985,yes,
51,no,,,,1,4,,"145,0",1,male,30.0,2,3,healthcare_representative,1,single,,25796,3,,20,4.0,3,0,23.0,1,2.0,13,12,8,1972,yes,
43,no,,394.0,,26,2,,"158,0",3,female,92.0,3,4,manager,4,married,16959.0,19494,1,yes,12,3.0,4,2,25.0,3,4.0,25,4,12,1980,yes,
